@relation corn
@attribute _corn_binarized{0,1}
@attribute _maize_binarized{0,1}
@attribute _sorghum_binarized{0,1}
@attribute _grain_binarized{0,1}
@attribute _wheat_binarized{0,1}
@attribute _usda_binarized{0,1}
@attribute _tonnes_binarized{0,1}
@attribute _agriculture_binarized{0,1}
@attribute _bushel_binarized{0,1}
@attribute _soybean_binarized{0,1}
@attribute _soybeans_binarized{0,1}
@attribute _ussr_binarized{0,1}
@attribute _bushels_binarized{0,1}
@attribute _barley_binarized{0,1}
@attribute _thous_binarized{0,1}
@attribute _inspections_binarized{0,1}
@attribute _crop_binarized{0,1}
@attribute _farmers_binarized{0,1}
@attribute _unknown_binarized{0,1}
@attribute _acreage_binarized{0,1}
@attribute _export_binarized{0,1}
@attribute _department_binarized{0,1}
@attribute _destinations_binarized{0,1}
@attribute _guesses_binarized{0,1}
@attribute _planted_binarized{0,1}
@attribute _villanueva_binarized{0,1}
@attribute _ofcorn_binarized{0,1}
@attribute _meal_binarized{0,1}
@attribute _season_binarized{0,1}
@attribute _farmer_binarized{0,1}
@attribute _pik_binarized{0,1}
@attribute _crops_binarized{0,1}
@attribute _mlntonnes_binarized{0,1}
@attribute _enrollment_binarized{0,1}
@attribute _cordoba_binarized{0,1}
@attribute _enrolled_binarized{0,1}
@attribute _moisture_binarized{0,1}
@attribute _growers_binarized{0,1}
@attribute _rios_binarized{0,1}
@attribute _pampa_binarized{0,1}
@attribute _oats_binarized{0,1}
@attribute _signup_binarized{0,1}
@attribute _bread_binarized{0,1}
@attribute _feed_binarized{0,1}
@attribute _soviet_binarized{0,1}
@attribute _yellow_binarized{0,1}
@attribute _saidprivate_binarized{0,1}
@attribute _ofsoybeans_binarized{0,1}
@attribute _ranged_binarized{0,1}
@attribute _grains_binarized{0,1}
@attribute _mlnbushels_binarized{0,1}
@attribute _formosa_binarized{0,1}
@attribute _misiones_binarized{0,1}
@attribute _grainagreement_binarized{0,1}
@attribute _postedcounty_binarized{0,1}
@attribute _tonnesof_binarized{0,1}
@attribute _rice_binarized{0,1}
@attribute _washington_binarized{0,1}
@attribute _dry_binarized{0,1}
@attribute _exporters_binarized{0,1}
@attribute _belt_binarized{0,1}
@attribute _argentine_binarized{0,1}
@attribute _fructose_binarized{0,1}
@attribute _harvest_binarized{0,1}
@attribute _cereal_binarized{0,1}
@attribute _feedgrains_binarized{0,1}
@attribute _ascs_binarized{0,1}
@attribute _syrup_binarized{0,1}
@attribute _grainsagreement_binarized{0,1}
@attribute _licencesto_binarized{0,1}
@attribute _sunflower_binarized{0,1}
@attribute _cereals_binarized{0,1}
@attribute _entre_binarized{0,1}
@attribute _harvested_binarized{0,1}
@attribute _coarse_binarized{0,1}
@attribute _thecrops_binarized{0,1}
@attribute _theconservation_binarized{0,1}
@attribute _agpm_binarized{0,1}
@attribute _ofmaize_binarized{0,1}
@attribute _hfcs_binarized{0,1}
@attribute _cropland_binarized{0,1}
@attribute _deliveryduring_binarized{0,1}
@attribute _maizeimporters_binarized{0,1}
@attribute _bureaufederation_binarized{0,1}
@attribute _mge_binarized{0,1}
@attribute _miscellaneous_binarized{0,1}
@attribute _chaco_binarized{0,1}
@attribute _riots_binarized{0,1}
@attribute _cornimports_binarized{0,1}
@attribute _bargefreight_binarized{0,1}
@attribute _corrientes_binarized{0,1}
@attribute _acres_binarized{0,1}
@attribute _fordelivery_binarized{0,1}
@attribute _rains_binarized{0,1}
@attribute _tonne_binarized{0,1}
@attribute _delivery_binarized{0,1}
@attribute _buenos_binarized{0,1}
@attribute _aires_binarized{0,1}
@attribute _cotton_binarized{0,1}
@attribute _rainfall_binarized{0,1}
@attribute corn{yes,no}
@data
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no
