@relation bank-additional-full-weka.filters.unsupervised.attribute.RemoveType-Tnumeric

@attribute job {housemaid,services,admin.,blue-collar,technician,retired,management,unemployed,self-employed,unknown,entrepreneur,student}
@attribute marital {married,single,divorced,unknown}
@attribute education {basic.4y,high.school,basic.6y,basic.9y,professional.course,unknown,university.degree,illiterate}
@attribute default {no,unknown,yes}
@attribute housing {no,yes,unknown}
@attribute loan {no,yes,unknown}
@attribute contact {telephone,cellular}
@attribute month {may,jun,jul,aug,oct,nov,dec,mar,apr,sep}
@attribute day_of_week {mon,tue,wed,thu,fri}
@attribute poutcome {nonexistent,failure,success}
@attribute y {yes,no}

@data
housemaid,married,basic.4y,no,no,no,telephone,may,mon,nonexistent,no
services,married,high.school,unknown,no,no,telephone,may,mon,nonexistent,no
services,married,high.school,no,yes,no,telephone,may,mon,nonexistent,no
admin.,married,basic.6y,no,no,no,telephone,may,mon,nonexistent,no
services,married,high.school,no,no,yes,telephone,may,mon,nonexistent,no
services,married,basic.9y,unknown,no,no,telephone,may,mon,nonexistent,no
admin.,married,professional.course,no,no,no,telephone,may,mon,nonexistent,no
blue-collar,married,unknown,unknown,no,no,telephone,may,mon,nonexistent,no
technician,single,professional.course,no,yes,no,telephone,may,mon,nonexistent,no
services,single,high.school,no,yes,no,telephone,may,mon,nonexistent,no
blue-collar,married,unknown,unknown,no,no,telephone,may,mon,nonexistent,no
services,single,high.school,no,yes,no,telephone,may,mon,nonexistent,no
blue-collar,single,high.school,no,no,yes,telephone,may,mon,nonexistent,no
housemaid,divorced,basic.4y,no,yes,no,telephone,may,mon,nonexistent,no
blue-collar,married,basic.6y,no,yes,no,telephone,may,mon,nonexistent,no
retired,married,basic.9y,unknown,yes,yes,telephone,may,mon,nonexistent,no
blue-collar,married,basic.6y,no,yes,no,telephone,may,mon,nonexistent,no
blue-collar,married,basic.6y,unknown,yes,yes,telephone,may,mon,nonexistent,no
blue-collar,married,basic.9y,no,yes,yes,telephone,may,mon,nonexistent,no
management,single,basic.9y,unknown,no,no,telephone,may,mon,nonexistent,no
unemployed,married,high.school,no,no,no,telephone,may,mon,nonexistent,no
blue-collar,married,basic.4y,unknown,yes,no,telephone,may,mon,nonexistent,no
retired,single,high.school,no,yes,no,telephone,may,mon,nonexistent,no
technician,single,high.school,no,yes,no,telephone,may,mon,nonexistent,no
